text,label
Is an MBA worth it at 38 with 4 years of experience? I really need some perspective.,education
I've been thinking a lot about this. Should we have another child when our first was so difficult?,family
Should I give up legumes completely or allow occasional treats? Am I overthinking this?,health
Should we tell our families we're trying to conceive or keep it private? Any advice?,family
I'm engaged but having second thoughts. Is this just cold feet or something more? Please help me decide.,relationship
Should I study what I'm good at or what challenges me? Am I overthinking this?,education
I've been thinking a lot about this. I'm addicted to buying things when I'm stressed. How do I break this habit?,lifestyle
Help! Should we move before having kids or wait until after?,relocation
I've been thinking a lot about this. I'm a generalist in a world that wants specialists. How do I market myself?,career
Is it better to focus on one habit at a time or change multiple at once? Please help me decide.,lifestyle
I need advice. Is organic produce worth the extra cost?,health
Help! I'm scared of marriage because my parents divorced. How do I get past this?,relationship
Help! Should I see a registered dietitian or figure out nutrition myself?,health
Not sure what to do. I'm scared of marriage because my parents divorced. How do I get past this?,relationship
My partner is emotionally unavailable. Should I keep trying or accept they won't change?,relationship
I got recruited by a competitor with a much better package. Should I tell my boss? Please help me decide.,career
Should I leave my cushy corporate job to work at a nonprofit with a mission I care about? Am I overthinking this?,career
"Not sure what to do. Does your major actually matter for your career, or is the degree enough?",education
Big decision ahead. Should I drink smoothies every day for the health benefits?,health
Big decision ahead. Should I digitize all my photos or keep the physical albums?,lifestyle
Should I focus on cardio or strength training for weight loss? I really need some perspective.,health
Should I force my kid to eat foods they hate or let them have preferences? Please help me decide.,family
Thinking about pivoting from corporate life to creative work. Anyone done this? Has anyone been through this?,career
I'm not sure if I want to be in academia forever. Should I still pursue a PhD? What would you do?,education
I've been thinking a lot about this. Should I move closer to work to cut my commute or keep my affordable place?,relocation
Should I turn my hobby into a side business or keep it fun?,lifestyle
Big decision ahead. I'm burned out from undergrad. Should I take time off before grad school?,education
My partner got into grad school in Berlin. Should I move with them or try long distance? I really need some perspective.,relocation
My doctor recommended gallbladder removal but I'm scared of the risks. What should I do? Feeling so lost.,health
Should I eat before my morning workout or train fasted? Any advice?,health
I'm happier when my partner is away on trips. What does that say about us? Please help me decide.,relationship
Should I get genetic testing for sleep apnea that runs in my family? Please help me decide.,health
Really struggling with this. Should I change my last name when I get married? My partner says they don't care either way.,relationship
"Big decision ahead. I have $5,000 in credit card debt. Should I consolidate or use the avalanche method?",finance
I need advice. Should I go to the ER or wait for an urgent care appointment?,health
Really struggling with this. Should I use a robo-advisor or manage my investments myself?,finance
I'm good at {subject1} and {subject2}. Which should I pursue as a career? Feeling so lost.,education
I got recruited by a competitor with a much better package. Should I tell my boss? Am I overthinking this?,career
My doctor said I need to leave my physically demanding job. How do I transition to something else at 50? Has anyone been through this?,career
Should I eat before my morning workout or train fasted? What would you do?,health
Should I invest in a Roth IRA or traditional IRA? Please help me decide.,finance
Should I end a 25-year relationship if the sex life has completely died? Please help me decide.,relationship
I want to switch industries but every job posting wants experience I don't have. How do I break in? Feeling so lost.,career
I need advice. I'm considering buying a condo instead of a house. What are the hidden costs?,finance
Should I let my child fail or protect them from every hardship? Any advice?,family
Should I use habit stacking to build new routines? Feeling so lost. Should I journal every morning or only when I feel like it?,lifestyle
Should I keep my citizenship when moving abroad permanently? Has anyone been through this?,relocation
Here's my situation. Should I digitize all my photos or keep the physical albums?,lifestyle
I've been thinking a lot about this. I want a big wedding but my partner wants to elope. Can we compromise?,relationship
Here's my situation. I'm stuck between majoring in Theater and Computer Science. Which has better long-term prospects?,education
I've been thinking a lot about this. Should I break up before the holidays or wait until after?,relationship
"Is it worth waking up early on weekends too, or should I sleep in? Has anyone been through this?",lifestyle
I've been offered a chance to move from sales to product management. Good move? Any advice?,career
Here's my situation. I found out my partner has been lying about bathroom time. Is this a dealbreaker?,relationship
My industry is dying and I need to reskill. What's the fastest path to something stable? Please help me decide.,career
I've been thinking a lot about this. Is med school worth the debt and stress if I'm not 20% sure I want to be a doctor?,education
Should we get genetic testing before trying to conceive? What would you do?,family
Really struggling with this. We can't agree on whether to have kids. Should we get married anyway?,relationship
Should I pursue a terminal master's or go straight for the doctorate? Has anyone been through this?,education
Here's my situation. Should we let our kids have smartphones before high school?,family
I've been thinking a lot about this. Should I bootstrap my startup or take investor money and give up equity?,career
Should I invest in crypto or is it too risky? What would you do?,finance
Is organic produce worth the extra cost? Feeling so lost.,health
Help! Should I let my child fail or protect them from every hardship?,family
I found out my partner has been lying about bathroom time. Is this a dealbreaker? Please help me decide.,relationship
Not sure what to do. Should I invest in individual stocks or stick with index funds? Should I splurge on a professional camera or use my phone?,finance
Is it better to make my bed every morning or does it not matter? Has anyone been through this?,lifestyle
Help! We're fighting about screen time limits. What's reasonable for a 38-year-old?,family
Should I take a semester off to figure out what I actually want? Am I overthinking this?,education
Should I journal every morning or only when I feel like it? Feeling so lost.,lifestyle
Should we have kids close together or space them out? Has anyone been through this?,family
I want a big wedding but my partner wants to elope. Can we compromise? Has anyone been through this?,relationship
Big decision ahead. My friends are all having kids and I'm feeling left behind. Should that influence my decision?,family
"Not sure what to do. Should I wake up at 5am like all the successful people say, or find my own rhythm?",lifestyle
I found my dream house but it's 40% over my budget. Should I stretch? What would you do?,finance
My nutritionist says I should eat more nuts and seeds. Should I follow their plan exactly? Am I overthinking this?,health
Should I plan my week on Sunday night or Monday morning?,lifestyle
Big decision ahead. I'm pregnant and not sure I want to keep it. How do I make this decision?,family
My partner wants 20 kids and I want {num2}. How do we compromise? Any advice?,family
Should I double major or focus on one thing and do it well? What would you do?,education
Should I propose even though I can't afford an expensive ring right now? Please help me decide.,relationship
My friend keeps giving me stock tips. Should I listen or stick to my plan? Please help me decide.,finance
Is it dumb to invest in companies I actually use and like?,finance
Should I minor in something completely different from my major? I really need some perspective.,education
Should I rent first when moving to a new city or buy immediately? Am I overthinking this?,relocation
Should we use a sperm donor or keep trying with my partner's sperm? I really need some perspective. My partner wants 6 kids and I want {num2}. How do we compromise?,family
I have a business idea but I'm scared to quit my job. When is the right time to leap? Any advice?,career
I need advice. Should I invest in individual stocks or stick with index funds?,finance
Should I take a 40% pay cut to work at a company I'm actually passionate about? Feeling so lost.,career
Should I have my wisdom teeth removed even though they're not bothering me? Any advice?,health
I've been thinking a lot about this. Is B12 actually beneficial or a waste of money?,health
Should I buy in the city where I work or the suburbs where I can afford more? Am I overthinking this?,finance
My partner wants to go vegan but I love meat. How do we make meals work? What would you do?,health
My partner is from Colombia and wants to move back home. Should I go? Feeling so lost.,relocation
Not sure what to do. Should we get a new place together or move into one of our existing apartments?,relationship
My manager just told me I'm on a toxic performance plan. Should I start looking now? Am I overthinking this?,career
Help! Should we have kids close together or space them out?,family
Help! Should my partner and I have kids even though we both have demanding careers? My parent has early Alzheimer's. Should we tell extended family?,family
I need advice. Should we have kids close together or space them out?,family
I have no hobbies and feel boring. How do I find something I'm passionate about? Has anyone been through this?,lifestyle
Should I track my macros or just eat intuitively? Feeling so lost.,health
Help! Should I buy a house now with these high interest rates or wait until next year?,finance
Is it minimalist to have a well-stocked pantry or should I shop more frequently? Please help me decide.,lifestyle
My doctor said I need to leave my physically demanding job. How do I transition to something else at 38? I really need some perspective.,career
Not sure what to do. We fight about bathroom time constantly. Is this normal relationship stuff or are we incompatible?,relationship
My partner wants a destination wedding but I want my grandparents there. What do we do? What would you do?,relationship
Should I keep my citizenship when moving abroad permanently? Am I overthinking this?,relocation
I need advice. Should I accept a job that requires me to move to Vietnam?,relocation
Really struggling with this. Should we get a new place together or move into one of our existing apartments?,relationship
I need advice. I want to simplify my wardrobe to a capsule collection. Where do I start?,lifestyle
Should I meal prep every Sunday or cook fresh daily?,health
Big decision ahead. I want to read more books this year. Should I set a number goal or just read daily?,lifestyle
Big decision ahead. My partner and I both got into different grad schools. How do we decide?,education
Help! My parents want me to study Philosophy but I'm passionate about Computer Science. How do I decide?,education
Help! My doctor said I need to leave my physically demanding job. How do I transition to something else at 50?,career
"Help! Is international school worth the cost, or should I put my kids in local schools?",relocation
Not sure what to do. Should I reward myself for hitting habit milestones or rely on intrinsic motivation?,lifestyle
I've been thinking a lot about this. The new job pays 40% more but requires 10 more hours per week. Worth it?,career
Help! My spouse got a diplomatic posting to Thailand. Should the whole family go?,relocation
I have a family. Can I survive grad school while being a parent? Any advice?,education
Not sure what to do. Should I buy a fixer-upper in a great neighborhood or a move-in ready home in an okay area?,finance
Here's my situation. Should we use a sperm donor or keep trying with my partner's sperm?,family
I'm pregnant and not sure I want to keep it. How do I make this decision? Has anyone been through this?,family
A recruiter reached out about a role that sounds perfect but requires a coding certification I don't have. Should I invest in it? Feeling so lost.,career
My partner and I both got into different grad schools. How do we decide? I really need some perspective.,education
Should I reward myself for hitting habit milestones or rely on intrinsic motivation? What would you do?,lifestyle
Here's my situation. My religious family doesn't approve of my partner. Should we still have the wedding?,relationship
I need advice. Is it worth the paperwork nightmare to move to Colombia for love?,relocation
Should we tell our families we're trying to conceive or keep it private? What would you do?,family
Should I go to grad school locally or move across the country for a better program? Any advice?,education
I want to start investing but the market feels really high right now. Should I wait? I really need some perspective.,finance
Really struggling with this. Should I move back to my hometown or stay in the city where I built my life?,relocation
I need advice. I'm in my final year and want to drop out. My parents will be devastated. What do I do?,education
Big decision ahead. We agreed to try an open relationship and now I'm miserable. Should I end it?,relationship
Really struggling with this. Should I accept a job that requires me to move to the UK?,relocation
I have chronic pain and doctors can't find the cause. Should I keep searching? Any advice?,health
Should we get genetic testing before trying to conceive? Am I overthinking this?,family
I need advice. My neighborhood is changing and I don't feel safe anymore. Should I move?,relocation
I need advice. I have chronic pain and doctors can't find the cause. Should I keep searching?,health
Here's my situation. Should we tell our families we're trying to conceive or keep it private?,family
Really struggling with this. Should I get a professional certification instead of a full graduate degree?,education
I need advice. I'm in a PhD program and hate it. Should I drop out with a master's?,education
Really struggling with this. Is it minimalist to have a well-stocked pantry or should I shop more frequently?,lifestyle
I need advice. Should we adopt domestically or internationally?,family
"My dream company finally offered me a role, but it's in a different city. What should I do? Has anyone been through this?",career
Not sure what to do. Should I get a second opinion on my diagnosis or trust my current doctor?,health
My doctor says I need to reduce sodium. Should I cut it completely? Please help me decide.,health
My co-founder and I keep disagreeing on direction. Should we split up? Feeling so lost.,career
I've been thinking a lot about this. Should I move back to my home country after living abroad for 5 years?,relocation
Is meal replacement shakes a good option for busy days? Please help me decide.,health
My partner wants a destination wedding but I want my grandparents there. What do we do? Has anyone been through this?,relationship
We're thinking of moving from Seattle to Nashville for a lower cost of living. Worth it? I really need some perspective.,relocation
My psychiatrist suggested ECT for my depression. Should I consider it? Please help me decide.,health
Should I try {cuisine} cuisine for its supposed longevity benefits? I really need some perspective.,health
My spouse got a diplomatic posting to Germany. Should the whole family go? Any advice?,relocation
Is it better to rent and invest the difference or buy a home? Any advice?,finance
I want to stop procrastinating. Should I use the 2-minute rule or time blocking? I really need some perspective.,lifestyle
Is it dumb to invest in companies I actually use and like? Am I overthinking this?,finance
Should I pick up chess again after 1 years or try something completely new? Feeling so lost.,lifestyle
"Is international school worth the cost, or should I put my kids in local schools?",relocation
Really struggling with this. The job market is rough right now. Should I take an offer I'm not excited about just to have income?,career
I'm scared of marriage because my parents divorced. How do I get past this? Am I overthinking this?,relationship
I need advice. I want to read more books this year. Should I set a number goal or just read daily?,lifestyle
Not sure what to do. I need to choose between two treatment plans. How do I decide?,health
"I've been thinking a lot about this. My side hustle is making $2,000 per month. Should I go full-time?",career
Here's my situation. I'm burned out from undergrad. Should I take time off before grad school? I got accepted to a liberal arts school for History and a private university for Marketing. Which should I choose?,education
We agreed to try an open relationship and now I'm miserable. Should I end it? I really need some perspective.,relationship
